Rank;Name;Symbol;earnings_ttm;price (EUR);country
263;Milkfood Limited;MLKFOOD.BO;2619440;0.9639865192;India
264;Iceland Seafood International;ICESEA.IC;1537220;0.035987407904;Iceland
265;Anaam International;4061.SR;999370;6.0607423996;Saudi Arabia
266;HF Foods Group;HFFG;818000;1.97608475;United States
267;Apex Frozen Foods;APEX.NS;276320;2.3497599954;India
268;Development Works Food Company;6013.SR;156009;34.015418173;Saudi Arabia
269;Americana Restaurants International;AMR.AE;0;0.6190145;United Arab Emirates
270;Rafhan Maize Products Company;RMPL.PK;0;32.023810444;Pakistan
271;Nestle Pakistan;NESTLE.PK;0;25.040850719;Pakistan
272;Oman Flour Mills;OFMI.OM;0;1.0391729727;Oman
273;Ismail Industries;ISIL.PK;0;6.4826722061;Pakistan
274;Agthia Group;AGTHIA.AE;0;1.5808678;United Arab Emirates
275;A'Saffa Foods;SPFI.OM;0;0.9748430812;Oman
276;Sláturfélags Suðurlands;SFS-B.IC;0;0.018507771686;Iceland
277;X5 Retail Group;FIVE.ME;0;30.8745386;Netherlands
278;Unilever Pakistan Foods;UPFL.PK;0;78.062585333;Pakistan
279;Foodco National Foodstuff;FNF.AE;0;0.5618747;United Arab Emirates
280;Halloren Schokoladenfabrik;H2RB.HM;-882436;5.9;Germany
281;Smart Good Things Holding;MLSGT.PA;-1210010;3.2;France
282;Laird Superfood;LSF;-1649600;6.9234391;United States
283;Aker BioMarine;AKBM.OL;-2100000;5.7026377497;Norway
284;Arctic Fish Holding;AFISH.OL;-4083460;5.4290523873;Iceland
285;BranchOut Food;BOF;-4185940;1.8189503;United States
286;Borealis Foods;BRLS;-5641010;5.9615858;Canada
287;Moolec Science;MLEC;-6874170;0.7428174;Luxembourg
288;Kura Sushi USA;KRUS;-7498000;66.5202505;United States
289;Proximar Seafood;PROXI.OL;-8551600;0.29923922794;Norway
290;ATOM Corporation;7412.T;-8663770;4.2430015587;Japan
291;Forafric Global PLC;AFRI;-8715000;9.0090418;Gibraltar
292;Herfy Food Services Company;6002.SR;-9859600;6.2437897489;Saudi Arabia
293;Edible Garden;EDBL;-10403000;0.20760794;United States
294;Veganz Group;VEZ.DE;-10451000;8.3;Germany
295;Raydan Food;6012.SR;-10457400;6.0200683853;Saudi Arabia
296;Tipiak;TIPI.PA;-13299800;88;France
297;Stryve Foods;SNAX;-15297600;0.5142582;United States
298;Olo;OLO;-15519000;6.5425071;United States
299;DDC Enterprise;DDC;-21243800;0.205322348;Hong Kong
300;Noodles &amp;;;;
301;Saudi Fisheries Company;6050.SR;-25840600;31.320609972;Saudi Arabia
302;Alto Ingredients;ALTO;-28824000;1.618961;United States
303;TreeHouse Foods;THS;-29700000;29.1222514;United States
304;Real Good Food plc;RGF;-39030000;1.1904125;United Kingdom
305;Village Farms International;VFF;-44641000;0.746341021;Canada
306;Red Robin;RRGB;-51657000;4.6568937;United States
307;Atlantic Sapphire;ASA.OL;-65006000;0.0063137764806;Norway
308;Grieg Seafood;GSF.OL;-65302500;4.3304159294;Norway
309;AquaBounty;AQB;-68921700;0.685487134;United States
310;HelloFresh;HFG.DE;-78205700;12.91;Germany
311;TH International (Tims China);THCH;-86188000;2.94746135;China
312;PAR Technology;PAR;-86630000;59.3015891;United States
313;Sweetgreen;SG;-89062000;20.7893639;United States
314;Grab Holdings;GRAB;-98000000;4.666417;Singapore
315;Local Bounti;LOCL;-100909000;2.1141726;United States
316;Select Harvests Limited;SHV.AX;-102543000;2.9496612323;Australia
317;(DIA) Distribuidora Internacional de Alimentación;DIA.MC;-109153000;0.0177;Spain
318;Hain Celestial;HAIN;-110414000;3.9807394;United States
319;Delivery Hero;DHER.F;-129615000;28.18;Germany
320;Super Hi International;9658.HK;-149592000;2.1352762328;Singapore
321;FAT Brands;FAT;-151926000;3.333155;United States
322;DoorDash;DASH;-159000000;190.4088602;United States
323;Oatly;OTLY;-219698000;7.5710235;Sweden
324;Beyond Meat;BYND;-270453000;3.8283666;United States
325;Deliveroo;ROO.L;-278980000;1.6301223076;United Kingdom
326;Swiggy;SWIGGY.NS;-297132000;3.9653878404;India
327;Ocado;OCDO.L;-389145000;3.7210199624;United Kingdom
328;DSM-Firmenich;DSFIR.AS;-529516000;101.1;Switzerland
329;Missfresh;MF;-598848000;0.95233;China
330;Just Eat Takeaway;TKWY.AS;-2181070000;12.425;Netherlands
331;Sodexo;SW.PA;-2865310000;73.45;France
